beat,population,square_mileage,households,85,80-84,75-79,70-74,67-69,65-66,62-64,60-61,55-59,50-54,45-49,40-44,35-39,30-34,25-29,22-24,21,20,18-19,15-17,10-14,5-9,0-4,<=21,22-29,30-39,40-49,50-59,60-64,65,med_income,pop_food_stamps,percent_on_fs,bachelors,high_school,no_high_school,percent_bachelors,percent_high_school,percent_no_high_school,se_35+,se_25-34,se_20-24,se_18-19,se_15-17,se_10-14,se_5-9,se_0-4,total_se,percent_se,percent_se_0-4,percent_se_5-9,percent_se_10-14,percent_se_15-17,percent_se_18-19,percent_se_20-24,percent_se_25-34,youngPop,percent_se_35+
111,1982.5854540535000,0.10679714130000000,987.8387308643000,0.0,19.4444387065,29.9595785221,24.035300777700000,12.186575788600000,13.766156181700000,16.5408356447,52.629896171800000,64.4506699694,81.4673588066,64.72697720150000,45.8464229429,89.5979826949,310.98596790740000,593.9880170936,201.9634476423,11.6270086021,53.3871148902,191.2160708609,11.677331576200000,15.9389300929,15.834807143500000,61.3231504237,361.00441358950000,795.9514647359,400.58395060230000,110.57340014440000,145.918028776,69.17073181650000,99.39204997660000,84026.5014610791,5.0472779866,0.5109414957018270,1146.1400525125,247.5784312962,25.9076946008,80.73583043123450,17.439797347404000,1.8249770030888800,12.0129117532,248.8510569622,139.394324712,186.3371275647,11.677331576200000,15.9389300929,15.8191280198,50.899766755,680.930577436,34.34558525806800,83.00253069732760,99.9009831723373,100.0,100.0,97.4484658772488,52.21199822876610,27.498144818154600,514.6436078207,0.818350657693212
112,1075.2823547172,0.08605996450000000,451.5074692896,0.0,16.7896805836,27.096763226800000,28.2964182533,16.2282426244,13.7173094955,26.0797489122,27.679591751600000,46.9346416728,58.133967762300000,38.3305746624,46.1510874942,24.769467024,100.4227048118,137.5781938023,95.76666128040000,39.3061647399,86.09527400350000,185.89447522900000,12.9623502878,15.7363032231,14.521993258600000,16.788203540400000,371.3047642823,233.3448550827,125.1921718358,84.4816621566,105.0686094351,53.759340663800000,102.1284141836,96400.6504483955,4.6175782381,1.0227025137292400,491.321185329,98.30603786970000,18.5811688786,80.78138056677260,16.16314886126090,3.055053434246980,8.6639364018,63.930518991900000,174.3231976402,183.7683408053,12.9623502878,15.7363032231,14.521993258600000,3.9080327942000000,477.8146734029000,44.43620517966800,23.278445396468500,100.0,100.0,100.0,98.85626809453000,78.81932232606830,26.86146118110180,370.2100305404000,1.2288010895783600
113,1072.9518668195,0.08755772520000000,358.12784670340000,0.0,1.3437585993,2.8099029112,17.071591693800000,15.4898472607,8.0736126516,23.3265099352,25.290296749500000,42.0161813783,29.4271004449,51.6635815538,47.1175392857,68.7513833987,97.2246735417,137.45920987370000,108.9208501125,50.295551821800000,87.9143027753,205.365936054,8.252636689700000,12.904984279,13.3326982205,18.899059045600000,396.96516888590000,246.38005998620000,165.97605694040000,98.7811208395,71.4432818232,48.616806684700000,44.7887131166,101646.7576827920,5.549620169700000,1.5496198412898500,454.4573395965,86.97865097270000,25.6291987088,80.14189910090900,15.338368781493000,4.519615985917320,9.3228414726,63.3952321255,209.176085623,204.0532630511,8.252636689700000,12.904984279,13.3326982205,0.0,520.4377414614,48.505227266541700,0.0,100.0,100.0,100.0,99.36081268971750,84.64188449136660,27.013031829411100,332.38196440570000,1.2588739350888100
114,16145.434609535,0.6681101715,8563.0657117235,121.1792455491,289.38579377860000,452.9541392704,525.1754900238,415.35129485060000,210.2200463868,715.5688923499,446.66682199840000,1184.9017915791,1004.0538241338,829.1808153033,1457.2430933181,864.3728474033,2029.0032245893000,2206.5231100654,680.7760296639,252.4786954106,296.6597639427,1159.7383655536,49.6317333726,8.7738429094,161.24389509810000,784.3929360201000,2712.9192323071000,2887.2991397293,2893.3760719926,2286.4239086214,2188.9556157129,1162.2357143483,2014.2660098593,110367.1822424970,37.7890698678,0.4413030465953780,10549.9765229885,2112.2177560726,89.5861484414,82.73362743258940,16.564154100876500,0.7025406181825220,204.73883507670000,1091.0635654174,924.9198374263000,1148.3549845181,49.6317333726,8.7738429094,161.24389509810000,719.8266844139,4308.553378232500,26.685892838635600,91.7686342340358,100.0,100.0,100.0,99.01845266366900,75.20196287510890,25.75981068729090,8516.213012909300,2.6836136882857500
121,6400.4967745848,0.2642662481,3632.5147418855,0.0,0.0084759155,8.6595945634,28.398202441,94.51372456370000,59.531801799200000,81.4709126869,49.5388032128,104.04562475610000,84.1797951578,241.79555629400000,508.6746841744,883.5687677943000,1152.0806541326000,1534.9742680489,822.607902973,84.4869781493,45.5307575546,171.6156393433,28.6143689459,32.1637712125,43.7403452308,340.3087288622,746.4605892986000,2357.5821710219,2035.6494219269000,750.4702404684,188.2254199139,131.00971589970000,191.11179928280000,101550.3823720450,20.3131418306,0.559203286813262,4477.5276940963,330.6105297623,23.3026067966,92.67503173932120,6.8429149817372400,0.48231300218003300,121.285189425,595.4290233955,561.6196504678000,171.5922269838,28.6143689459,32.1637712125,25.5884443997,244.45019545170000,1780.7428702819,27.8219477799427,71.83189107990360,58.50078289204210,100.0,100.0,99.9863576771968,58.954916565948400,22.159168332595800,2144.3733601317000,2.849663358283630
122,4247.3190802394,0.2912123236,1851.1915225382000,0.0,8.0742874786,8.169367379300000,49.4196843163,46.778923608,35.3544635002,42.8514058752,123.7964404019,181.4133713434,138.3075665596,264.90084673810000,257.39627933050000,387.4303156979,590.5502212576,754.8584642137000,393.60700726510000,53.5057529035,237.5302839306,369.8300965623,34.9930530153,81.3961426427,93.711908908,93.4344704253,964.4017083877000,1148.4654714788000,977.9805369555,522.2971260686000,319.720937903,166.6478462771,147.79672628240000,82737.3089766553,37.644201503700000,2.0335119864899400,2229.4049550987,494.1340298174,165.7626526382,77.16045262647580,17.102144368907200,5.737100959104380,51.4525929303,327.5770004855,447.843122459,360.25174253530000,34.9930530153,81.3961426427,93.6378624457,1.0417924603,1398.1933089741000,32.91943182416360,1.1149979826052600,99.92098500269300,100.0,100.0,97.41006637479370,65.41264478166680,24.347769121971200,1543.9016791153000,1.90324264795017
123,12310.4368415824,0.32811850720000000,6414.1396122887,2.1299095448,84.607348818,191.4075037865,134.9766909719,377.15275598850000,91.5929263696,153.2611616733,250.39968199720000,532.8011248449,554.2133784971000,563.6578619715,970.7578735977,1160.6448426114,2053.0143987161,2309.3119953429,770.2891594012,134.4338417378,120.4046526839,866.5972084866,20.4564635884,200.37781967920000,284.39179488860000,483.6695951429,2110.3313762074000,3079.6011547441,3213.6592413275000,1534.4157355692,1087.014503342,403.6608436705,881.8671354793000,92468.26321565130,360.1434105235,5.614835851616170,7857.729340312900,1449.9952942783000,122.2048197894,83.32855153641770,15.376707745194600,1.2959406188218400,351.70621885960000,881.0988685776,857.2301780002,812.0426440756000,20.4100866376,200.37781967920000,284.3394508693,333.6356909559,3740.8409576550000,30.387556557043700,68.98008357488910,99.98159439891000,100.0,99.77328950040860,93.70473804014760,83.62179820273330,20.19791251240530,5067.489911914800,4.855844206437400
124,3296.7770042922000,0.5049563823,830.4149417491000,0.0,6.8427412976,1.4250408309,35.0771502861,26.510459366,46.9909924242,54.776891595,34.310832262200000,64.0685444965,92.5819210765,155.0466815078,115.2925201812,241.77794256330000,385.8219162501,333.7643000338,201.2781095021,171.8578025014,285.31925597870000,689.5784130123,10.5649112552,66.4797558794,107.1318660848,170.2796337382,1501.21163845,535.0424095359,627.5998588134,270.339201689,156.650465573,89.08772385720000,116.8463842048,110929.12461506800,5.7739247633,0.695305981746716,1235.1934263827,277.5901576587,81.5043501298,77.47621524732330,17.411552187649400,5.112275081273880,23.7593948626,98.7531496177,614.1531050624,689.5159431519,10.561316142700000,66.4797558794,107.1278084089,142.5090107034,1752.859483829,53.16888226127780,83.69116586338420,99.99621244728740,100.0,99.96597120020070,99.9909408619497,93.27181787401540,13.723602173438300,874.7010400562000,0.9809516800227390
131,11154.211806994000,0.5734721234000000,6120.667502833,102.4276616448,182.38816514480000,267.5358738674,442.99370511030000,143.9328421728,194.5013117436,250.52489682710000,175.6498117072,560.2970057701,701.3718959755,774.5019031373000,1101.7884806779,1015.4114213719,1794.0634764193000,1218.9009724383,424.57894943560000,72.9979290776,7.0269242129,93.41675709300000,178.1412287778,435.9356567932,365.1034267954,650.6399844758,1803.2619072257,1643.4799218739,2809.4748977912,1876.2903838152,1261.6689017456000,426.17470853430000,1333.7795596837,90091.03323450810,666.4943542258000,10.889242944781900,6558.5036688687,1833.6722927113,534.113404352,73.47334885992220,20.542192374863800,5.983544794674850,180.15477031920000,262.7203282296,284.863565767,87.77477524210000,153.7738531382,435.9356567932,356.7602002799,435.1189477861,2197.1020975553000,19.697510999187400,66.87553150251930,97.71483204396890,100.0,86.32131606659450,93.96041778105920,56.452916967338900,8.719662401898350,5913.406501475100,3.437539840098350
132,11872.817209198300,1.0441161711,6838.993242897,48.3733062342,16.197839747900000,159.785089678,271.043777945,66.9563159464,179.6964013416,178.96841197060000,304.43980276920000,679.1801902460000,645.3902659546,638.5854200618,963.5146443022,1523.1818801954,2097.3786252755,1514.1904427267000,617.0406529362,90.717827668,0.0,66.0520145629,170.4755909019,382.26812659480000,505.5378696342,753.8437129964,1968.8951423582,2131.2310956629000,3620.5605054709,1602.100064364,1324.5704562006,483.4082147398,742.0527308931000,93507.00746720940,537.5636924762,7.86027523911528,7326.332021551000,1796.0193097202,164.5309910184,78.88904461063050,19.339315639707400,1.7716495310478700,188.0191106271,315.7385128606,428.9313425119,66.0520145629,170.4755909019,382.26812659480000,505.5378696342,490.5068453738,2547.5294130672,21.456823331648200,65.0674452698052,100.0,100.0,100.0,100.0,60.6041968081724,8.742419345042630,5675.312345901700,3.03378722202548
